# Match score is a heuristic combining Tpeak, WD mass, WD composition, and initial abundance distance.
# Property match score uses only Iliadis Table 1 properties: Tpeak, WD mass, and WD composition.
# Lower score is better. Composition/mass are inferred from case names when available.
case	trajectory	initial_abundance	case_wd_composition	case_wd_mass_msun	case_tpeak_gk	case_peak_rho_cgs	trajectory_points	iliadis_model	iliadis_model_label	iliadis_wd_composition	iliadis_wd_mass_msun	iliadis_tpeak_gk	abs_tpeak_diff_gk	abs_mass_diff_msun	composition_match	initial_abundance_rms_log10	initial_abundance_l1	property_match_score	match_score
ne_nova_1.3_12_X_Barcelona	nova_cases/ne_nova_1.3_12_X_Barcelona/trajectory_ne_nova_1.3_12_X_Barcelona.input	nova_cases/ne_nova_1.3_12_X_Barcelona/iniab_ne_nova_1.3_12_X_Barcelona.dat	ONe	1.300	0.3554	8.034920E+02	1022	JCH1	JCH 1	ONe	1.150	0.231	0.1244	0.150	True	5.838136	8.954085E-04	3.988000	6.988000
ne_nova_1.3_12_X_Barcelona	nova_cases/ne_nova_1.3_12_X_Barcelona/trajectory_ne_nova_1.3_12_X_Barcelona.input	nova_cases/ne_nova_1.3_12_X_Barcelona/iniab_ne_nova_1.3_12_X_Barcelona.dat	ONe	1.300	0.3554	8.034920E+02	1022	JH2	JH 2	CO	1.000	0.170	0.1854	0.300	False	5.941013	4.969715E-01	9.708000	12.708000
ne_nova_1.3_12_X_Barcelona	nova_cases/ne_nova_1.3_12_X_Barcelona/trajectory_ne_nova_1.3_12_X_Barcelona.input	nova_cases/ne_nova_1.3_12_X_Barcelona/iniab_ne_nova_1.3_12_X_Barcelona.dat	ONe	1.300	0.3554	8.034920E+02	1022	JH1	JH 1	CO	0.800	0.145	0.2104	0.500	False	5.967783	7.445202E-01	12.208000	15.208000
ne_nova_1.3_15_X_Barcelona	nova_cases/ne_nova_1.3_15_X_Barcelona/trajectory_ne_nova_1.3_15_X_Barcelona.input	nova_cases/ne_nova_1.3_15_X_Barcelona/iniab_ne_nova_1.3_15_X_Barcelona.dat	ONe	1.300	0.3148	4.301980E+02	1289	P1	P1	ONe	1.250	0.290	0.0248	0.050	True	8.800298	3.634998E-01	0.996000	3.996000
ne_nova_1.3_15_X_Barcelona	nova_cases/ne_nova_1.3_15_X_Barcelona/trajectory_ne_nova_1.3_15_X_Barcelona.input	nova_cases/ne_nova_1.3_15_X_Barcelona/iniab_ne_nova_1.3_15_X_Barcelona.dat	ONe	1.300	0.3148	4.301980E+02	1289	P2	P2	ONe	1.350	0.356	0.0412	0.050	True	8.800298	3.634998E-01	1.324000	4.324000
ne_nova_1.3_15_X_Barcelona	nova_cases/ne_nova_1.3_15_X_Barcelona/trajectory_ne_nova_1.3_15_X_Barcelona.input	nova_cases/ne_nova_1.3_15_X_Barcelona/iniab_ne_nova_1.3_15_X_Barcelona.dat	ONe	1.300	0.3148	4.301980E+02	1289	JCH2	JCH 2	ONe	1.250	0.251	0.0638	0.050	True	5.838136	8.954085E-04	1.776000	4.776000
ne_nova_1.3_15_X_Barcelona	nova_cases/ne_nova_1.3_15_X_Barcelona/trajectory_ne_nova_1.3_15_X_Barcelona.input	nova_cases/ne_nova_1.3_15_X_Barcelona/iniab_ne_nova_1.3_15_X_Barcelona.dat	ONe	1.300	0.3148	4.301980E+02	1289	S1	S1	ONe	1.350	0.418	0.1032	0.050	True	8.800298	3.634998E-01	2.564000	5.564000
ne_nova_1.3_15_X_Barcelona	nova_cases/ne_nova_1.3_15_X_Barcelona/trajectory_ne_nova_1.3_15_X_Barcelona.input	nova_cases/ne_nova_1.3_15_X_Barcelona/iniab_ne_nova_1.3_15_X_Barcelona.dat	ONe	1.300	0.3148	4.301980E+02	1289	JCH1	JCH 1	ONe	1.150	0.231	0.0838	0.150	True	5.838136	8.954085E-04	3.176000	6.176000
ne_nova_1.3_15_X_Barcelona	nova_cases/ne_nova_1.3_15_X_Barcelona/trajectory_ne_nova_1.3_15_X_Barcelona.input	nova_cases/ne_nova_1.3_15_X_Barcelona/iniab_ne_nova_1.3_15_X_Barcelona.dat	ONe	1.300	0.3148	4.301980E+02	1289	JH2	JH 2	CO	1.000	0.170	0.1448	0.300	False	5.941013	4.969715E-01	8.896000	11.896000
ne_nova_1.3_15_X_Barcelona	nova_cases/ne_nova_1.3_15_X_Barcelona/trajectory_ne_nova_1.3_15_X_Barcelona.input	nova_cases/ne_nova_1.3_15_X_Barcelona/iniab_ne_nova_1.3_15_X_Barcelona.dat	ONe	1.300	0.3148	4.301980E+02	1289	JH1	JH 1	CO	0.800	0.145	0.1698	0.500	False	5.967783	7.445202E-01	11.396000	14.396000
ne_nova_1.3_20_X_Barcelona	nova_cases/ne_nova_1.3_20_X_Barcelona/trajectory_ne_nova_1.3_20_X_Barcelona.input	nova_cases/ne_nova_1.3_20_X_Barcelona/iniab_ne_nova_1.3_20_X_Barcelona.dat	ONe	1.300	0.2784	3.232380E+02	796	P1	P1	ONe	1.250	0.290	0.0116	0.050	True	8.800298	3.634998E-01	0.732000	3.732000
ne_nova_1.3_20_X_Barcelona	nova_cases/ne_nova_1.3_20_X_Barcelona/trajectory_ne_nova_1.3_20_X_Barcelona.input	nova_cases/ne_nova_1.3_20_X_Barcelona/iniab_ne_nova_1.3_20_X_Barcelona.dat	ONe	1.300	0.2784	3.232380E+02	796	JCH2	JCH 2	ONe	1.250	0.251	0.0274	0.050	True	5.838136	8.954085E-04	1.048000	4.048000
ne_nova_1.3_20_X_Barcelona	nova_cases/ne_nova_1.3_20_X_Barcelona/trajectory_ne_nova_1.3_20_X_Barcelona.input	nova_cases/ne_nova_1.3_20_X_Barcelona/iniab_ne_nova_1.3_20_X_Barcelona.dat	ONe	1.300	0.2784	3.232380E+02	796	P2	P2	ONe	1.350	0.356	0.0776	0.050	True	8.800298	3.634998E-01	2.052000	5.052000
ne_nova_1.3_20_X_Barcelona	nova_cases/ne_nova_1.3_20_X_Barcelona/trajectory_ne_nova_1.3_20_X_Barcelona.input	nova_cases/ne_nova_1.3_20_X_Barcelona/iniab_ne_nova_1.3_20_X_Barcelona.dat	ONe	1.300	0.2784	3.232380E+02	796	JCH1	JCH 1	ONe	1.150	0.231	0.0474	0.150	True	5.838136	8.954085E-04	2.448000	5.448000
